longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-120.15,39.15,25.0,1669.0,348.0,163.0,78.0,5.75,176600.0
-117.32,33.23,24.0,2580.0,604.0,982.0,569.0,1.6402,169300.0
-119.76,36.79,26.0,3654.0,837.0,1976.0,830.0,2.1544,72800.0
-117.9,33.67,25.0,639.0,98.0,311.0,93.0,6.6833,275900.0
-118.45,34.2,27.0,1572.0,450.0,1039.0,455.0,2.5562,190500.0
-121.48,38.55,52.0,2508.0,360.0,832.0,345.0,7.1035,228700.0
-117.37,33.99,44.0,917.0,224.0,666.0,220.0,1.685,114200.0
-118.28,33.98,19.0,883.0,313.0,726.0,277.0,0.9809,121400.0
-120.85,37.49,39.0,2840.0,733.0,2606.0,737.0,1.9429,76400.0
-117.93,33.64,24.0,1395.0,396.0,1478.0,404.0,2.5301,192900.0
-118.0,33.76,26.0,1876.0,455.0,1499.0,436.0,2.925,176000.0
-121.84,37.27,9.0,3624.0,812.0,1856.0,721.0,4.2083,198400.0
-119.7,34.43,52.0,1364.0,460.0,804.0,400.0,2.375,293800.0
-117.07,33.12,32.0,2474.0,499.0,1224.0,461.0,2.7216,146300.0
-118.36,34.07,40.0,1821.0,447.0,777.0,441.0,2.3375,355200.0
-124.16,40.8,52.0,2416.0,618.0,1150.0,571.0,1.7308,80500.0
-119.16,34.2,35.0,2183.0,636.0,3504.0,623.0,1.9704,160300.0
-122.35,37.96,34.0,1428.0,335.0,1272.0,319.0,2.5461,93900.0
-118.25,34.15,32.0,1377.0,444.0,768.0,422.0,2.2621,187500.0
-119.79,36.82,23.0,4358.0,819.0,1852.0,802.0,3.4167,105200.0
-122.4,38.41,20.0,4867.0,1015.0,1725.0,1015.0,2.5685,267600.0
-119.82,36.84,9.0,2340.0,544.0,860.0,520.0,3.3229,119300.0
-121.82,37.25,16.0,2650.0,600.0,1969.0,586.0,3.9461,194300.0
-122.04,38.25,37.0,1176.0,291.0,648.0,271.0,2.7167,92200.0
-118.31,33.96,48.0,2015.0,356.0,1020.0,338.0,4.0625,138700.0
-117.92,34.08,35.0,2108.0,408.0,1257.0,414.0,4.1312,185200.0
-122.03,37.86,25.0,3004.0,393.0,1145.0,376.0,7.2655,494000.0
-120.93,38.26,13.0,2084.0,449.0,834.0,305.0,3.2937,114200.0
-122.23,37.76,52.0,3011.0,542.0,1303.0,535.0,5.1039,273800.0
-115.59,32.69,30.0,935.0,177.0,649.0,148.0,2.5769,94400.0
-117.79,33.76,25.0,2037.0,252.0,796.0,249.0,11.0546,487200.0
-118.36,33.83,36.0,1660.0,300.0,943.0,300.0,5.1984,353600.0
-118.47,34.02,41.0,2136.0,549.0,986.0,557.0,2.7254,444400.0
-122.46,38.29,21.0,2423.0,560.0,1098.0,503.0,2.364,173300.0
-120.05,36.95,31.0,696.0,254.0,913.0,248.0,1.4,52500.0
-121.63,37.12,17.0,1830.0,398.0,1110.0,388.0,2.4821,248200.0
-118.05,33.98,41.0,1694.0,413.0,1222.0,387.0,2.8311,155300.0
-122.23,39.95,21.0,2087.0,382.0,888.0,361.0,2.207,86400.0
-122.71,38.45,48.0,3118.0,561.0,1275.0,530.0,3.455,222100.0
-117.67,33.51,18.0,1645.0,393.0,1490.0,355.0,3.4792,126400.0
-118.18,34.11,33.0,1523.0,391.0,753.0,298.0,2.6591,183800.0
-119.1,36.42,26.0,1775.0,416.0,1217.0,383.0,1.8801,57600.0
-122.8,38.37,26.0,1634.0,315.0,909.0,317.0,4.1731,257200.0
-118.41,33.92,38.0,1437.0,272.0,590.0,250.0,5.2338,358000.0
-118.73,36.01,14.0,3263.0,651.0,1910.0,594.0,2.8603,128900.0
-119.03,36.07,26.0,3210.0,646.0,1908.0,642.0,2.4167,77600.0
-118.19,34.11,26.0,1638.0,457.0,1155.0,437.0,3.4227,143800.0
-118.06,33.8,21.0,2196.0,504.0,1215.0,477.0,4.8,196900.0
-122.43,37.77,52.0,2416.0,620.0,1188.0,591.0,2.3887,337500.0
-122.03,37.34,17.0,1165.0,278.0,598.0,287.0,4.0129,342400.0
